Country_Name,fertility,W15_to_44,gdp,Alcohol_Cons,pml,Guaranteed,unem,Density,urbanization,Mean_BMI_women,Mean_BMI_men,Access_Degree,Social_Support,Freedom_of_choices,Age_at_1st_Child,Divorce_Percent
United States,1.7295,39.11581535,62886.83648,9.8,0,1,3.681999922,35.71362209,82.256,29.07070589,29.01322022,4,1.457,0.454,26.4,42.03
Uzbekistan,2.419,48.60458553,1532.371677,2.7,4,1,5.916999817,77.46920545,50.478,27.6582837,26.48810362,4,1.529,0.631,23.8,14.1
St. Vincent and the Grenadines,1.891,45.11091033,7361.400962,8.2,1,0,18.88100052,282.5897436,52.198,28.42279274,26.44665194,3,,,,13.79
Venezuela,2.272,45.016251,16054.49051,5.6,3,1,8.800999641,32.73079191,88.208,26.93984073,26.70960031,1,1.427,0.154,,36.36
British Virgin Islands,1.33,45.69773232,34200,6.814136378,1,0,3,198.68,47.723,30.89159317,28.37610431,0,,,,
U.S. Virgin Islands,2.06,33.17725509,35938.02439,6.814136378,0,1,8.661999702,305.6485714,95.721,30.89159317,28.37610431,2,,,,
Vietnam,2.049,46.71510628,2566.59695,8.4,3,1,2.013000011,308.1252459,35.919,21.9405938,21.97052794,4,1.346,0.543,,7.02
Vanuatu,3.782,45.82201087,3123.893396,1,1,1,4.385000229,24.00984413,25.274,26.96518981,25.71103043,2,,,,
Samoa,3.877,40.51181269,4183.407935,2.5,1,1,8.359000206,69.30388693,18.243,34.33982466,30.62990811,2,,,23.6,
Kosovo,2,41.27947713,4302.276483,8.1,3,1,26,168,55,26.50751203,27.17447081,4,1.232,0.489,,
Yemen,3.792,47.67527976,944.4084994,0.1,1,0,12.90999985,53.97785291,36.642,24.19770906,23.72669657,1,1.163,0.143,,
South Africa,2.405,48.28042067,6374.028196,9.3,2,0,28.18099976,47.63011978,66.355,29.59192125,25.10522536,4,1.351,0.389,24,17.14
Zambia,4.633,44.71487953,1539.900158,4.8,2,0,11.42500019,23.3414789,43.521,23.83398161,21.44802712,3,1.058,0.431,,
Zimbabwe,3.615,46.07337891,2146.996385,4.8,2,1,4.953999996,37.32459093,32.209,25.43148733,22.30135343,2,1.114,0.361,,
